City,Population,"Murders per 10,000 people","Rapes per 10,000","Robberies per 10,000","Assaults per 10,000","Burglaries per 10,000","Larceny-thefts per 10,000","Motor vehicle thefts per 10,000","Arsons per 10,000"
Gardner,20587,0,5.3,3.9,33.5,92.3,160.8,17.5,1.5
Middleboro,21402,0,3.3,5.6,34.1,60.3,156.5,21,0.5
Ware,9961,0,3,5,35.1,29.1,146.6,11,2
Southbridge,16886,0,2.4,5.9,39.1,101.9,117.8,17.8,3
Adams,8145,0,7.4,0,40.5,101.9,197.7,8.6,2.5
Warren,5108,0,0,0,48.9,58.7,37.2,19.6,0
Winchendon,10192,0,2.9,2.9,43.2,43.2,177.6,16.7,2
Randolph,30068,0,2.3,7.3,40.2,45.9,181.9,23.6,0.3
Provincetown,3383,0,5.9,0,44.3,29.6,523.2,5.9,0
Everett,37172,0.5,4,13.5,32.6,87.4,235.1,41.2,0.3
Dennis,15406,0,3.2,4.5,43.5,107.8,216.1,12.3,2.6
Salisbury,8609,0,7,1.2,45.3,91.8,110.3,19.7,1.2
Leominster,41095,0.2,1.9,4.6,47.7,53.5,234.6,15.1,1.9
Taunton,55745,1.1,1.8,9.1,42.7,97.4,112.3,17.6,2.2
Montague,8318,0,8.4,2.4,48.1,70.9,139.5,13.2,7.2
Chicopee,53777,0.4,4.6,10.6,44.4,87.4,196.9,27.7,0.9
North Adams,13781,0.7,2.9,3.6,54.4,182.1,257.6,20.3,2.9
Lawrence,69812,0.6,2,14.9,47.8,88.1,146.5,48.8,
Haverhill,60001,0.2,1.8,10,55.2,112.8,111.2,22,0.8
Greenfield,17651,0,10.2,3.4,55,146.2,157.5,15.3,1.7
Yarmouth,23903,0,2.9,7.1,59.4,100.4,282.4,14.2,2.9
Pittsfield,42597,0,12.4,3.8,53.8,87.8,157.8,13.9,1.4
Barnstable,47828,0.2,8.2,8.6,60.8,94.1,231,17.4,2.9
Lynn,90042,0.7,4,20.2,65.7,125.8,156.4,52.5,0.9
Worcester,177151,0.3,2.4,21.1,73.2,96,224.8,37.9,0.6
Lowell,110136,0.5,3.8,20.4,81.2,97.4,202.2,40.9,3
Boston,604465,1,3.9,39.7,65.8,57.8,273.5,39.8,
Holyoke,39722,0.5,11.1,16.4,85.6,116.1,415.4,59.4,5
Fall River,90760,0.3,7.2,26.4,85.9,92.8,257.5,38.5,4.1
Springfield,151249,0.9,7.7,37.5,79.3,132.4,293,59.6,4
New Bedford,91473,0.4,6.4,32.9,90.4,115.4,216.2,34.9,4.7
Chelsea,38621,0.5,6.5,54.9,111.3,105.4,253.5,64.5,0.3
Brookline,54527,0,0.6,5.5,,28.6,125.3,4,0.4
Fitchburg,40377,1,5.9,15.4,,78.3,188.5,26,3
Auburn,16298,0,2.5,8,,50.9,241.1,16.6,4.9
Hanson,10010,1,2,2,,45,108.9,12,4
Southampton,6036,0,1.7,0,,19.9,59.6,8.3,1.7
North Brookfield,4834,0,4.1,0,,18.6,47.6,12.4,0
