City,Population,"Murders per 10,000 people","Rapes per 10,000","Robberies per 10,000","Assaults per 10,000","Burglaries per 10,000","Larceny-thefts per 10,000","Motor vehicle thefts per 10,000","Arsons per 10,000"
Dracut,"29,608",0.00,0.70,3.70,6.40,15.20,79.40,0.00,0.30
Walpole,"23,113",0.00,1.30,2.60,6.90,25.50,123.30,5.20,1.30
Tyngsboro,"11,955",0.00,2.50,3.30,5.00,41.00,105.40,16.70,0.80
Newburyport,"17,133",0.00,0.60,0.60,9.90,18.10,117.90,9.30,0.00
Becket,"1,803",0.00,0.00,0.00,11.10,144.20,133.10,0.00,
Orleans,"6,309",0.00,1.60,0.00,9.50,71.30,233.00,6.30,3.20
Granby,"6,303",0.00,1.60,0.00,9.50,19.00,131.70,11.10,0.00
Melrose,"26,737",0.00,0.40,3.40,7.50,28.10,87.90,9.70,0.70
Southwick,"9,507",0.00,0.00,0.00,11.60,44.20,79.90,14.70,0.00
Charlton,"12,740",0.00,0.80,1.60,9.40,31.40,58.10,13.30,1.60
Granville,"1,695",0.00,0.00,0.00,11.80,53.10,94.40,0.00,
Sutton,"9,107",0.00,1.10,0.00,11.00,28.50,51.60,9.90,0.00
Williamsburg,"2,442",0.00,4.10,0.00,8.20,139.20,57.30,0.00,0.00
Norwood,"28,119",0.40,1.40,3.90,6.80,33.10,163.60,14.60,1.10
Ashland,"15,927",0.00,1.90,0.60,10.00,35.20,61.50,5.70,0.00
Lancaster,"7,130",0.00,1.40,1.40,9.80,11.20,49.10,9.80,1.40
Maynard,"10,144",0.00,0.00,1.00,11.80,2.00,12.80,1.00,0.00
Sandwich,"20,258",0.00,0.50,1.50,10.90,44.40,124.90,3.90,2.00
Hopedale,"6,195",1.60,1.60,0.00,9.70,24.20,45.20,6.50,1.60
Braintree,"34,495",0.00,1.40,1.70,9.90,22.00,233.70,8.70,0.30
Rockport,"7,615",0.00,5.30,0.00,7.90,7.90,19.70,2.60,1.30
Chelmsford,"34,187",0.00,0.60,2.30,10.20,19.90,162.90,7.60,0.30
Arlington,"40,989",0.00,0.70,3.40,9.30,45.10,107.60,8.50,3.90
Bernardston,"2,234",0.00,0.00,0.00,13.40,31.30,62.70,13.40,0.00
Belchertown,"14,094",0.00,0.70,0.00,12.80,25.50,78.80,12.10,1.40
Mendon,"5,823",0.00,1.70,0.00,12.00,20.60,49.80,3.40,1.70
Lee,"5,782",0.00,0.00,0.00,13.80,6.90,65.70,19.00,0.00
Savoy,722,0.00,0.00,0.00,13.90,27.70,13.90,0.00,0.00
Avon,"4,285",0.00,0.00,4.70,9.30,53.70,375.70,25.70,
West Newbury,"4,283",0.00,0.00,0.00,14.00,7.00,51.40,0.00,0.00
Newton,"83,191",0.00,1.00,2.30,10.80,22.40,107.70,3.50,0.50
Royalston,"1,396",0.00,0.00,0.00,14.30,43.00,43.00,0.00,0.00
Waltham,"60,459",0.00,1.50,2.50,10.80,17.90,115.10,7.30,0.20
Egremont,"1,351",0.00,0.00,0.00,14.80,37.00,125.80,0.00,0.00
Douglas,"8,033",0.00,3.70,0.00,11.20,14.90,18.70,8.70,0.00
East Longmeadow,"15,363",0.00,0.70,1.30,13.00,41.70,188.80,9.80,1.30
Raynham,"13,893",0.00,6.50,4.30,4.30,60.50,242.60,24.50,0.70
Agawam,"28,353",0.00,2.10,2.50,10.60,28.20,72.70,13.80,1.80
Wenham,"4,608",0.00,2.20,4.30,8.70,6.50,54.30,4.30,0.00
Dedham,"24,217",0.00,1.20,8.30,5.80,30.60,203.20,11.10,0.40
Uxbridge,"12,820",0.00,1.60,0.00,14.00,45.20,59.30,6.20,2.30
Plymouth,"55,608",0.00,0.70,2.50,12.40,35.10,138.30,5.60,0.70
Brewster,"10,009",0.00,0.00,0.00,16.00,35.00,86.90,7.00,2.00
Watertown,"32,462",0.00,0.90,1.80,13.20,31.10,133.40,8.90,0.30
Medford,"55,555",0.00,0.40,7.90,7.70,36.90,209.90,17.10,
Oak Bluffs,"3,731",0.00,0.00,0.00,16.10,32.20,260.00,2.70,0.00
Williamstown,"8,071",0.00,3.70,0.00,12.40,26.00,149.90,5.00,2.50
Belmont,"23,252",0.00,2.20,3.40,10.80,41.30,65.40,6.50,0.40
East Bridgewater,"13,988",0.00,2.90,1.40,12.20,30.00,105.80,11.40,0.70
Ashfield,"1,817",0.00,0.00,0.00,16.50,27.50,60.50,0.00,
Hampden,"5,321",0.00,5.60,1.90,9.40,24.40,58.30,1.90,0.00
Littleton,"8,776",0.00,4.60,0.00,12.50,27.30,74.10,4.60,1.10
Carver,"11,592",0.00,0.90,2.60,13.80,25.90,53.50,6.90,2.60
Millville,"2,857",0.00,0.00,0.00,17.50,28.00,91.00,3.50,0.00
Marblehead,"19,994",0.00,1.00,1.00,15.50,15.50,78.50,4.00,1.00
Lenox,"5,106",0.00,3.90,0.00,13.70,41.10,133.20,3.90,2.00
Hubbardston,"4,531",0.00,0.00,0.00,17.70,15.40,48.60,15.40,2.20
Great Barrington,"7,353",0.00,2.70,2.70,12.20,50.30,115.60,5.40,1.40
Templeton,"7,911",1.30,3.80,1.30,11.40,55.60,61.90,8.80,1.30
West Boylston,"8,302",0.00,6.00,3.60,8.40,38.50,166.20,8.40,0.00
Tisbury,"3,809",2.60,0.00,2.60,13.10,57.80,220.50,39.40,0.00
Natick,"31,943",0.00,0.90,1.30,16.60,20.30,227.60,7.80,0.00
Freetown,"8,990",0.00,0.00,1.10,17.80,64.50,100.10,16.70,3.30
Dighton,"6,819",0.00,0.00,0.00,19.10,14.70,22.00,2.90,
Marshfield,"24,600",0.00,2.40,4.50,12.20,26.00,87.40,11.00,0.00
Marion,"5,226",0.00,0.00,1.90,17.20,67.00,141.60,13.40,0.00
Danvers,"26,958",0.00,0.70,3.30,15.20,24.10,313.50,13.00,0.40
South Hadley,"16,921",0.00,1.80,4.10,13.60,39.00,109.30,3.50,1.20
Tewksbury,"29,692",0.00,5.10,1.70,13.10,36.70,119.90,12.10,0.00
Rutland,"8,049",0.00,0.00,2.50,17.40,22.40,31.10,5.00,0.00
Weymouth,"53,180",0.00,1.50,3.80,14.70,32.50,118.50,10.50,
Bridgewater,"25,546",0.00,1.60,2.00,16.40,23.10,65.00,4.30,0.80
Woburn,"37,005",0.00,0.80,2.70,16.50,25.90,194.30,19.70,0.50
Edgartown,"3,935",0.00,0.00,0.00,20.30,63.50,175.30,22.90,0.00
Dudley,"11,181",0.00,2.70,1.80,16.10,28.60,15.20,2.70,0.90
Salem,"41,531",0.00,2.40,3.60,14.70,42.10,140.60,20.90,
Rochester,"5,301",0.00,1.90,0.00,18.90,49.00,90.50,5.70,1.90
West Brookfield,"3,827",0.00,0.00,2.60,18.30,39.20,96.70,7.80,0.00
Wilmington,"21,712",0.50,0.00,0.50,20.30,43.30,133.10,5.50,1.80
Boxborough,"5,124",0.00,3.90,3.90,13.70,27.30,66.40,7.80,2.00
Dartmouth,"34,446",0.00,1.50,3.20,16.80,45.60,252.30,12.50,2.00
Sturbridge,"9,266",0.00,6.50,0.00,15.10,35.60,131.70,8.60,1.10
Leicester,"11,042",0.00,1.80,1.80,18.10,30.80,110.50,12.70,2.70
Pembroke,"18,806",0.00,3.20,1.60,17.00,30.30,91.50,12.20,0.00
Blackstone,"9,058",0.00,1.10,1.10,19.90,40.80,102.70,16.60,1.10
Northbridge,"14,526",0.00,1.40,0.00,21.30,47.50,110.80,4.80,2.10
Acushnet,"10,474",0.00,1.90,1.00,20.00,66.80,86.90,11.50,2.90
Pepperell,"11,438",0.00,0.90,1.70,21.00,28.00,116.30,6.10,0.00
Amherst,"36,106",0.00,3.60,2.50,17.70,58.40,65.10,6.60,0.60
Lunenburg,"10,012",0.00,1.00,2.00,21.00,37.00,123.90,13.00,0.00
Canton,"22,054",0.00,1.40,1.40,21.80,29.90,98.80,7.70,1.40
Nahant,"3,505",0.00,2.90,0.00,22.80,14.30,62.80,8.60,0.00
Millbury,"13,551",0.00,0.00,0.70,25.10,54.60,143.20,10.30,1.50
Harwich,"12,381",0.00,1.60,1.60,22.60,92.10,123.60,4.80,2.40
Halifax,"7,722",0.00,3.90,0.00,22.00,20.70,62.20,7.80,0.00
Westfield,"40,857",0.00,5.10,2.20,18.60,61.40,90.80,6.40,1.20
Seekonk,"13,610",0.00,1.50,3.70,21.30,46.30,313.00,16.90,1.50
Easthampton,"16,072",0.00,0.60,1.20,24.90,39.20,67.80,4.40,3.70
Somerset,"18,265",0.00,1.60,4.40,20.80,20.80,142.30,4.90,0.00
Peabody,"51,846",0.20,1.70,4.20,21.60,33.00,197.50,23.70,1.20
Amesbury,"16,421",0.00,3.70,1.80,22.50,24.40,146.80,6.10,1.80
Palmer,"12,891",0.00,0.80,0.80,27.20,52.00,81.50,7.80,2.30
